# German given name misspellings
# Format: correct_name : misspelling1, misspelling2, ...
#
anna : ana, annah, annna
maria : marea, mariah, maira
emma : ema, emah, emmah
hannah : hanna, hanah, hannnah
lena : leena, lenna, lehna
leonie : leoni, leoney, leonee
sophia : sofie, sofhia, sophya
marie : maree, mari, marei
laura : lahra, laurah, lauura
julia : yulia, julja, juliah
katharina : katarina, katharrina, catherina
lisa : liesa, lissa, leesa
sarah : sara, sahra, sarrah
jana : janna, yaana, jaana
nicole : nikole, nichol, nicoole
claudia : klaudia, clawdia, cloudya
sabine : sabiene, sapine, sabiene
petra : petera, petrra, pedra
andrea : andreea, andria, anndrea
monika : monnika, monicka, monka
thomas : tomas, thomass, tohmas
michael : micheal, mihael, michaeel
andreas : anderas, andreeas, anndreas
peter : peeter, petter, peteer
stefan : stephan, steffan, stefann
christian : kristian, crisstian, christien
martin : marten, mardin, marttin
markus : marcus, marcuss, markuss
daniel : danial, daneel, daniell
alexander : aleksander, alexandar, allexander
matthias : mathias, matias, mattias
frank : frenk, franck, frnk
wolfgang : wolfgank, wolfganng, wolfgeng
klaus : claus, klauss, klaws
hans : hanns, hanz, hanss
karl : carl, karrl, kaarl
werner : wernner, weerner, verner
helmut : hellmut, helmuth, helmud
gerhard : gerhrad, geerhard, gerhaard
max : maks, maxx, maxs
felix : felixx, felikss, phelix
leon : leonn, lehon, leoon
lukas : lucas, lukass, lukaas
jonas : jonnas, yonas, jonaas
